observed_on_string,observed_on,latitude,longitude,positional_accuracy,geoprivacy,scientific_name
2019/02/17 9:37 AM EST,2019-02-17,30.6568778574,-84.9742806633,15,,Lamium amplexicaule
Mon Feb 18 2019 13:35:25 GMT-0600 (CST),2019-02-18,32.7829317609,-97.126784334,5,,Lamium amplexicaule
2019/02/18 2:35 PM EST,2019-02-18,30.8547369065,-84.9447380983,122,,Lamium amplexicaule
Wed Feb 20 2019 14:17:58 GMT-0500 (EST),2019-02-20,42.1632833333,-71.14325,65,,Lamium amplexicaule
Wed Feb 20 2019 18:03:52 GMT-0500 (EST),2019-02-20,30.2742533333,-82.785145,0,,Lamium amplexicaule
2019-02-21 5:32:15 PM EST,2019-02-21,34.9692933454,-80.8403447544,,obscured,Lamium amplexicaule
2019-02-24 1:45:42 PM EST,2019-02-24,33.872421254,-84.5874527469,11,,Lamium amplexicaule
2019-02-24 5:55:21 PM EST,2019-02-24,34.99101178,-79.10298117,13,,Lamium amplexicaule
2019/02/26 2:30 PM CST,2019-02-26,33.213815,-87.54783,,,Lamium amplexicaule
2019-02-28 4:44:31 PM CST,2019-02-28,32.9741668701,-96.7536087036,,,Lamium amplexicaule
2019-02-28T10:59:44,2019-02-28,33.7383083333,-116.9193277778,10,,Lamium amplexicaule
2019/03/01 5:16 PM HST,2019-03-01,32.1042579309,-96.4495097439,7813,,Lamium amplexicaule
2019-03-01 2:01:48 PM CST,2019-03-01,32.9823074341,-97.1233062744,,,Lamium amplexicaule
Sat Mar 02 2019 15:20:36 GMT-0500 (EST),2019-03-02,36.2829141067,-76.1218725323,24,,Lamium amplexicaule
2019/02/17 2:28 PM CST,2019-02-17,30.2854875556,-92.086985,,,Lamium amplexicaule
2019/03/03 9:00 AM CST,2019-03-03,30.3517444444,-88.7151722222,5,,Lamium amplexicaule
2019-02-12 12:16:59 PM EST,2019-02-12,33.7694811488,-84.4017711282,9,,Lamium amplexicaule
Mon Mar 04 2019 14:14:13 GMT-0500 (EST),2019-03-04,33.9320789775,-83.376167345,5,,Lamium amplexicaule
Thu Mar 07 2019 16:04:06 GMT-0500 (EST),2019-03-07,35.0446180953,-85.3000254092,5,,Lamium amplexicaule
